		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
01/06/17	12:00 a	21.3	21.4	21.3	62	13.8	3.6	SW	2.15	8.0	SW	21.1	21.1	20.8	19.3	1008.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.021	27.1	38	11.5	26.4	7.25	1.1555	0.13	227	1	99.6	10
01/06/17	12:10 a	21.1	21.3	21.1	63	13.8	1.8	WNW	1.07	7.6	SW	21.1	20.8	20.8	19.3	1009.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.019	27.2	38	11.7	26.6	7.25	1.1549	0.00	219	1	96.1	10
01/06/17	12:20 a	20.9	21.1	20.9	64	13.8	1.8	WSW	1.07	3.6	W	20.9	20.7	20.7	19.2	1009.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.018	27.6	37	11.6	26.9	7.12	1.1541	0.00	223	1	97.8	10
01/06/17	12:30 a	20.8	20.9	20.8	64	13.7	3.6	WSW	2.15	5.4	SW	20.4	20.6	20.3	18.8	1009.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.017	27.7	37	11.7	27.1	7.11	1.1536	0.00	227	1	99.6	10
01/06/17	12:40 a	20.7	20.8	20.6	65	13.9	4.0	WSW	2.41	6.7	WSW	19.9	20.6	19.8	18.4	1009.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.016	27.7	37	11.7	27.1	7.11	1.1536	0.00	225	1	98.7	10
01/06/17	12:50 a	20.3	20.7	20.3	66	13.8	4.9	WSW	2.95	7.2	SW	18.9	20.4	18.9	17.7	1009.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.014	27.7	37	11.7	27.1	7.11	1.1535	0.00	222	1	97.4	10
01/06/17	1:00 a	20.2	20.3	20.2	66	13.7	3.6	SW	2.15	7.2	SW	19.8	20.3	19.9	18.5	1009.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.013	27.2	38	11.6	26.5	7.25	1.1554	0.08	220	1	96.5	10
01/06/17	1:10 a	20.0	20.2	20.0	67	13.7	1.3	SW	0.80	3.6	SSW	20.0	20.2	20.2	18.7	1009.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.012	26.4	39	11.3	25.8	7.46	1.1590	0.00	222	1	97.4	10
01/06/17	1:20 a	19.9	20.0	19.8	67	13.6	1.3	SSW	0.80	4.0	SW	19.9	20.1	20.1	18.6	1009.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.011	26.0	41	11.7	25.6	7.75	1.1600	0.00	221	1	96.9	10
01/06/17	1:30 a	19.6	19.8	19.6	69	13.7	2.2	SSW	1.34	5.4	SSW	19.6	19.8	19.8	18.3	1009.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.008	25.4	42	11.5	25.0	7.90	1.1627	0.00	224	1	98.2	10
01/06/17	1:40 a	19.4	19.6	19.3	70	13.8	2.7	SW	1.61	5.8	SSW	19.4	19.6	19.6	18.1	1009.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.007	25.0	43	11.5	24.7	8.05	1.1642	0.00	224	1	98.2	10
01/06/17	1:50 a	19.3	19.4	19.3	70	13.7	2.7	SW	1.61	5.8	SW	19.3	19.4	19.4	17.9	1009.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.007	24.9	43	11.4	24.6	8.05	1.1647	0.00	218	1	95.6	10
01/06/17	2:00 a	19.1	19.3	19.1	71	13.7	4.0	WSW	2.41	7.6	WSW	18.3	19.2	18.5	17.1	1009.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.005	25.1	43	11.6	24.7	8.05	1.1640	0.05	218	1	95.6	10
01/06/17	2:10 a	18.9	19.1	18.9	71	13.5	2.7	WSW	1.61	5.8	WSW	18.9	19.1	19.1	17.6	1009.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	25.3	42	11.5	24.9	7.90	1.1629	0.00	212	1	93.0	10
01/06/17	2:20 a	18.9	18.9	18.9	71	13.6	3.1	SW	1.88	8.0	WSW	18.9	19.1	19.1	17.6	1009.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	25.2	43	11.7	24.8	8.05	1.1633	0.00	225	1	98.7	10
01/06/17	2:30 a	18.8	18.9	18.8	71	13.5	1.8	SW	1.07	4.9	W	18.8	18.9	18.9	17.4	1009.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.003	25.0	43	11.5	24.7	8.05	1.1642	0.00	225	1	98.7	10
01/06/17	2:40 a	18.7	18.9	18.7	71	13.3	3.1	WSW	1.88	5.8	SW	18.7	18.8	18.8	17.2	1009.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.002	25.0	43	11.5	24.7	8.05	1.1643	0.00	215	1	94.3	10
01/06/17	2:50 a	18.7	18.7	18.6	71	13.3	3.1	WSW	1.88	5.8	W	18.7	18.8	18.8	17.2	1009.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.002	25.3	42	11.4	24.9	7.90	1.1632	0.00	223	1	97.8	10
01/06/17	3:00 a	18.7	18.7	18.6	71	13.3	2.2	WSW	1.34	4.9	WSW	18.7	18.8	18.8	17.2	1009.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.002	25.4	41	11.2	24.9	7.75	1.1631	0.05	231	1	100.0	10
01/06/17	3:10 a	18.8	18.8	18.7	68	12.7	2.7	W	1.61	4.9	W	18.8	18.8	18.8	17.2	1009.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.003	25.6	40	11.0	25.1	7.59	1.1624	0.00	225	1	98.7	10
01/06/17	3:20 a	18.8	18.9	18.7	66	12.3	3.1	WSW	1.88	5.8	W	18.8	18.8	18.8	17.2	1009.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.003	25.6	39	10.6	25.0	7.49	1.1626	0.00	235	1	100.0	10
01/06/17	3:30 a	18.9	18.9	18.8	65	12.2	3.1	WSW	1.88	7.2	SW	18.9	18.8	18.8	17.2	1009.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.004	25.6	38	10.2	24.9	7.29	1.1630	0.00	230	1	100.0	10
01/06/17	3:40 a	18.7	18.9	18.7	68	12.6	1.8	SW	1.07	6.3	WSW	18.7	18.7	18.7	17.1	1009.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.002	25.2	39	10.3	24.7	7.50	1.1642	0.00	230	1	100.0	10
01/06/17	3:50 a	18.3	18.7	18.3	69	12.5	1.3	SW	0.80	4.0	WSW	18.3	18.3	18.3	16.7	1009.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.000	24.9	40	10.4	24.5	7.61	1.1652	0.00	228	1	100.0	10
01/06/17	4:00 a	18.2	18.3	18.2	70	12.6	2.7	SW	1.61	5.4	SW	18.2	18.1	18.1	16.6	1009.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.001	0.000	24.9	40	10.4	24.4	7.61	1.1653	0.05	222	1	97.4	10
01/06/17	4:10 a	18.2	18.2	18.2	69	12.4	2.7	SW	1.61	5.4	WSW	18.2	18.2	18.2	16.6	1009.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.001	0.000	24.8	40	10.3	24.4	7.62	1.1655	0.00	224	1	98.2	10
01/06/17	4:20 a	18.1	18.2	18.1	70	12.6	4.0	WSW	2.41	5.8	SW	17.3	18.1	17.2	15.8	1008.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.002	0.000	25.1	40	10.5	24.6	7.61	1.1642	0.00	223	1	97.8	10
01/06/17	4:30 a	18.0	18.1	18.0	70	12.4	2.7	SW	1.61	4.9	WSW	18.0	17.9	17.9	16.4	1008.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.002	0.000	25.1	40	10.6	24.7	7.61	1.1641	0.00	222	1	97.4	10
01/06/17	4:40 a	17.9	18.0	17.9	70	12.4	2.7	WSW	1.61	4.5	SW	17.9	17.9	17.9	16.3	1008.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.003	0.000	25.2	39	10.2	24.7	7.50	1.1641	0.00	222	1	97.4	10
01/06/17	4:50 a	17.9	18.0	17.9	69	12.2	1.3	SW	0.80	3.6	WSW	17.9	17.8	17.8	16.2	1008.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.003	0.000	25.1	39	10.2	24.6	7.51	1.1645	0.00	224	1	98.2	10
01/06/17	5:00 a	17.9	18.1	17.9	69	12.2	0.9	SW	0.54	2.2	SSW	17.9	17.8	17.8	16.2	1009.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.003	0.000	25.1	39	10.2	24.6	7.51	1.1646	0.05	226	1	99.1	10
01/06/17	5:10 a	17.8	18.0	17.8	69	12.1	0.4	SW	0.27	1.8	SSW	17.8	17.7	17.7	16.1	1009.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.003	0.000	25.1	39	10.2	24.6	7.51	1.1648	0.00	224	1	98.2	10
01/06/17	5:20 a	17.7	17.8	17.6	71	12.3	0.9	SW	0.54	1.8	SSW	17.7	17.6	17.6	16.0	1009.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.005	0.000	24.8	40	10.3	24.4	7.62	1.1660	0.00	230	1	100.0	10
01/06/17	5:30 a	17.3	17.6	17.3	73	12.4	0.9	SSW	0.54	2.7	S	17.3	17.3	17.3	15.7	1009.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.007	0.000	24.6	41	10.5	24.2	7.75	1.1667	0.00	228	1	100.0	10
01/06/17	5:40 a	17.1	17.3	17.1	74	12.4	0.9	SSW	0.54	2.7	SSW	17.1	16.9	16.9	15.4	1009.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.009	0.000	24.4	41	10.3	23.9	7.75	1.1677	0.00	221	1	96.9	10
01/06/17	5:50 a	16.8	17.1	16.8	74	12.2	0.4	SSW	0.27	1.3	SSW	16.8	16.7	16.7	15.1	1009.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.010	0.000	24.3	41	10.2	23.8	7.75	1.1681	0.00	230	1	100.0	10
01/06/17	6:00 a	16.8	16.8	16.8	75	12.3	0.9	SSW	0.54	1.3	SSW	16.8	16.7	16.7	15.1	1009.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.011	0.000	24.3	41	10.2	23.9	7.75	1.1678	0.03	228	1	100.0	10
01/06/17	6:10 a	16.7	16.8	16.7	75	12.2	0.4	SSW	0.27	1.3	SSW	16.7	16.6	16.6	14.9	1009.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.012	0.000	24.3	41	10.2	23.9	7.75	1.1678	0.00	224	1	98.2	10
01/06/17	6:20 a	16.6	16.7	16.6	75	12.2	0.4	SSW	0.27	1.3	SSW	16.6	16.5	16.5	14.9	1009.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.012	0.000	24.1	41	10.0	23.7	7.75	1.1693	0.00	215	1	94.3	10
01/06/17	6:30 a	16.7	16.7	16.6	75	12.2	0.4	SSW	0.27	2.2	SW	16.7	16.6	16.6	14.9	1009.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.012	0.000	24.0	42	10.3	23.7	7.95	1.1692	0.00	228	1	100.0	10
