		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
01/04/15	12:00 a	20.4	20.4	20.3	35	4.4	0.0	NW	0.00	3.1	NW	20.4	18.7	18.7	16.8	840.3	0.00	0.0	0	0.00	0	1.2	0.09	1.2	0.000	0.014	26.4	18	0.2	24.7	0.05	226	1	99.1	10
01/04/15	12:10 a	20.3	20.3	20.3	36	4.7	0.4	NW	0.27	2.2	N	20.3	18.7	18.7	16.7	840.3	0.00	0.0	0	0.00	0	1.1	0.08	1.2	0.000	0.014	26.6	18	0.3	24.8	0.00	222	1	97.4	10
01/04/15	12:20 a	20.2	20.3	20.2	36	4.7	0.4	NW	0.27	1.3	NW	20.2	18.6	18.6	16.7	840.2	0.00	0.0	0	0.00	0	1.1	0.08	1.2	0.000	0.013	26.6	18	0.3	24.8	0.00	225	1	98.7	10
01/04/15	12:30 a	20.2	20.2	20.1	36	4.6	0.0	NW	0.00	0.4	NW	20.2	18.6	18.6	16.6	840.2	0.00	0.0	0	0.00	0	1.1	0.08	1.1	0.000	0.013	26.6	19	1.1	24.9	0.00	228	1	100.0	10
01/04/15	12:40 a	20.0	20.1	19.9	37	4.9	0.0	---	0.00	0.0	---	20.0	18.4	18.4	16.5	840.2	0.00	0.0	0	0.00	0	1.1	0.08	1.1	0.000	0.012	26.7	19	1.1	24.9	0.00	227	1	99.6	10
01/04/15	12:50 a	19.9	19.9	19.8	37	4.8	0.0	---	0.00	0.0	---	19.9	18.4	18.4	16.4	840.1	0.00	0.0	0	0.00	0	1.1	0.08	1.1	0.000	0.011	26.7	20	1.9	25.1	0.00	171	1	75.0	10
01/04/15	1:00 a	19.8	19.8	19.7	37	4.7	0.4	NW	0.27	2.7	NW	19.8	18.2	18.2	16.3	840.0	0.00	0.0	0	0.00	0	1.1	0.08	1.2	0.000	0.010	26.7	20	1.9	25.1	0.03	228	1	100.0	10
01/04/15	1:10 a	19.6	19.7	19.6	38	4.9	0.4	NW	0.27	2.2	NNW	19.6	18.1	18.1	16.2	840.0	0.00	0.0	0	0.00	0	1.1	0.08	1.2	0.000	0.009	26.7	20	1.9	25.1	0.00	228	1	100.0	10
01/04/15	1:20 a	19.4	19.6	19.4	39	5.1	0.0	NW	0.00	1.3	NNW	19.4	18.0	18.0	16.1	839.9	0.00	0.0	0	0.00	0	1.1	0.08	1.1	0.000	0.008	26.7	20	1.9	25.1	0.00	225	1	98.7	10
