		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
26/06/12	4:40 p	28.3	28.3	28.3	28	8.1	0.9	NNE	0.54	3.6	NNE	28.3	27.1	27.1	36.4	835.9	0.00	0.0	630	9.03	630	3.4	0.24	3.6	0.000	0.069	36.1	24	12.3	35.5	0.00	38	1	16.7	10
26/06/12	4:50 p	27.8	28.3	27.4	37	11.8	1.8	N	1.07	5.4	NE	27.8	27.2	27.2	31.9	835.5	0.00	0.0	321	4.60	579	2.9	0.21	3.5	0.000	0.066	35.5	25	12.5	34.9	0.00	228	1	100.0	10
26/06/12	5:00 p	27.3	27.4	27.3	35	10.5	0.4	N	0.27	3.1	NE	27.3	26.5	26.5	31.7	835.5	0.00	0.0	341	4.89	514	2.7	0.19	3.0	0.000	0.062	34.1	27	12.5	33.4	0.38	229	1	100.0	10
26/06/12	5:10 p	27.6	27.7	27.3	32	9.4	0.4	N	0.27	2.2	N	27.6	26.6	26.6	34.2	835.5	0.00	0.0	437	6.26	503	2.6	0.19	2.8	0.000	0.064	34.3	27	12.6	33.7	0.00	228	1	100.0	10
26/06/12	5:20 p	27.6	27.7	27.6	32	9.4	0.0	NW	0.00	1.8	NW	27.6	26.6	26.6	30.5	835.7	0.00	0.0	251	3.60	391	2.3	0.16	2.4	0.000	0.064	33.7	29	13.2	33.3	0.00	228	1	100.0	10
26/06/12	5:30 p	27.7	27.9	27.6	27	7.0	0.4	NW	0.27	3.6	NE	27.7	26.4	26.4	32.9	835.7	0.00	0.0	354	5.07	378	2.2	0.16	2.3	0.000	0.065	33.7	29	13.2	33.3	0.00	228	1	100.0	10
26/06/12	5:40 p	27.9	28.0	27.9	35	11.1	0.0	N	0.00	1.3	NE	27.9	27.2	27.2	33.4	835.7	0.00	0.0	316	4.53	331	2.1	0.15	2.1	0.000	0.067	33.9	28	12.9	33.4	0.00	228	1	100.0	10
26/06/12	5:50 p	27.7	28.0	27.6	31	9.1	0.0	ENE	0.00	4.5	ENE	27.7	26.7	26.7	28.4	835.9	0.00	0.0	291	4.17	301	1.8	0.13	2.0	0.000	0.065	33.9	29	13.4	33.6	0.00	228	1	100.0	10
26/06/12	6:00 p	27.8	28.0	27.7	32	9.6	0.0	NNE	0.00	1.8	NE	27.8	26.8	26.8	28.1	835.8	0.00	0.0	253	3.63	290	1.7	0.12	1.7	0.000	0.066	33.8	30	13.8	33.7	0.23	228	1	100.0	10
26/06/12	6:10 p	27.8	27.9	27.7	33	10.0	0.0	NE	0.00	4.5	NE	27.8	26.9	26.9	26.4	835.8	0.00	0.0	102	1.46	135	1.4	0.10	1.5	0.000	0.066	33.2	29	12.7	32.6	0.00	228	1	100.0	10
26/06/12	6:20 p	27.4	27.7	27.2	39	12.2	0.9	NE	0.54	4.5	NE	27.4	26.8	26.8	26.0	835.8	0.00	0.0	64	0.92	67	1.3	0.09	1.3	0.000	0.063	32.0	30	12.3	31.2	0.00	228	1	100.0	10
26/06/12	6:30 p	27.0	27.1	26.8	39	11.9	0.4	ENE	0.27	3.1	ENE	27.0	26.4	26.4	25.4	835.9	0.00	0.0	57	0.82	62	1.2	0.09	1.2	0.000	0.060	31.1	32	12.4	30.1	0.00	228	1	100.0	10
26/06/12	6:40 p	26.7	26.8	26.6	39	11.6	2.2	ENE	1.34	4.9	ENE	26.7	26.1	26.1	25.1	835.9	0.00	0.0	47	0.67	51	1.1	0.08	1.2	0.000	0.058	30.4	32	11.9	29.7	0.00	146	1	64.0	10
26/06/12	6:50 p	26.6	26.6	26.6	40	11.9	0.4	ENE	0.27	3.1	NE	26.6	26.1	26.1	24.8	836.0	0.00	0.0	32	0.46	37	1.1	0.08	1.1	0.000	0.057	29.9	33	11.9	29.3	0.00	195	1	85.5	10
